# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Avg. Session Duration
12/14/13,00:07:54
12/15/13,00:09:47
12/16/13,00:09:02
12/17/13,00:08:54
12/18/13,00:08:27
12/19/13,00:08:18
12/20/13,00:09:39
12/21/13,00:08:46
12/22/13,00:12:35
12/23/13,00:12:01
12/24/13,00:12:51
12/25/13,00:12:54
12/26/13,00:13:15
12/27/13,00:11:26
12/28/13,00:13:59
12/29/13,00:14:09
12/30/13,00:13:30
12/31/13,00:13:46
1/1/14,00:12:01
1/2/14,00:12:57
1/3/14,00:13:04
1/4/14,00:12:54
1/5/14,00:10:24
1/6/14,00:10:55
1/7/14,00:09:48
1/8/14,00:08:54
1/9/14,00:06:22
1/10/14,00:08:59
1/11/14,00:09:23
1/12/14,00:10:30
1/13/14,00:08:58
1/14/14,00:11:16
1/15/14,00:09:34
1/16/14,00:09:11
1/17/14,00:09:32
1/18/14,00:10:29
1/19/14,00:11:33
1/20/14,00:10:01
1/21/14,00:10:25
1/22/14,00:10:19
1/23/14,00:10:05
1/24/14,00:08:40
1/25/14,00:08:31
1/26/14,00:11:23
1/27/14,00:10:20
1/28/14,00:11:05
1/29/14,00:10:08
1/30/14,00:09:19
1/31/14,00:12:10
2/1/14,00:10:55
2/2/14,00:12:22
2/3/14,00:10:43
2/4/14,00:10:59
2/5/14,00:10:41
2/6/14,00:11:11
2/7/14,00:10:08
2/8/14,00:10:08
2/9/14,00:13:08
2/10/14,00:10:59
2/11/14,00:10:55
2/12/14,00:10:13
2/13/14,00:09:58
2/14/14,00:10:41
2/15/14,00:11:24
2/16/14,00:12:53
2/17/14,00:11:17
2/18/14,00:11:20
2/19/14,00:10:49
2/20/14,00:09:47
2/21/14,00:10:03
2/22/14,00:10:40
2/23/14,00:12:02
2/24/14,00:11:02
2/25/14,00:11:01
2/26/14,00:10:47
2/27/14,00:10:03
2/28/14,00:09:49
3/1/14,00:10:54
3/2/14,00:11:43
3/3/14,00:10:46
3/4/14,00:11:10
3/5/14,00:10:48
3/6/14,00:10:18
3/7/14,00:10:17
3/8/14,00:10:53
3/9/14,00:12:07
3/10/14,00:11:00
3/11/14,00:11:49
3/12/14,00:11:47
3/13/14,00:11:08
3/14/14,00:10:52
3/15/14,00:12:13
3/16/14,00:12:39
3/17/14,00:11:47
3/18/14,00:11:20
3/19/14,00:10:57
3/20/14,00:12:00
3/21/14,00:10:48
3/22/14,00:10:31
3/23/14,00:12:17
3/24/14,00:11:33
3/25/14,00:11:33
3/26/14,00:11:48
3/27/14,00:11:35
3/28/14,00:11:23
3/29/14,00:12:28
3/30/14,00:13:37
3/31/14,00:13:45
4/1/14,00:12:44
4/2/14,00:12:06
4/3/14,00:12:07
4/4/14,00:11:19
4/5/14,00:11:50
4/6/14,00:13:51
4/7/14,00:12:17
4/8/14,00:12:14
4/9/14,00:14:34
4/10/14,00:12:20
4/11/14,00:12:01
4/12/14,00:11:39
4/13/14,00:11:04
4/14/14,00:11:08
4/15/14,00:11:05
4/16/14,00:10:44
4/17/14,00:11:03
4/18/14,00:11:24
4/19/14,00:12:09
4/20/14,00:12:21
4/21/14,00:13:05
4/22/14,00:11:59
4/23/14,00:10:26
4/24/14,00:09:05
4/25/14,00:12:08
4/26/14,00:11:50
4/27/14,00:12:26
4/28/14,00:13:04
4/29/14,00:13:42
4/30/14,00:12:30
5/1/14,00:14:11
5/2/14,00:13:44
5/3/14,00:12:38
5/4/14,00:11:57
5/5/14,00:12:16
5/6/14,00:12:03
5/7/14,00:12:28
5/8/14,00:15:00
5/9/14,00:15:00
5/10/14,00:11:25
5/11/14,00:12:28
5/12/14,00:13:02
5/13/14,00:13:04
5/14/14,00:14:26
5/15/14,00:15:47
5/16/14,00:14:31
5/17/14,00:14:13
5/18/14,00:11:04
5/19/14,00:11:46
5/20/14,00:13:40
5/21/14,00:15:55
5/22/14,00:15:03
5/23/14,00:13:22
5/24/14,00:14:24
5/25/14,00:17:27
5/26/14,00:14:48
5/27/14,00:15:58
5/28/14,00:15:59
5/29/14,00:19:35
5/30/14,00:17:31
5/31/14,00:15:34
6/1/14,00:18:31
6/2/14,00:17:36
6/3/14,00:19:13
6/4/14,00:18:38
6/5/14,00:19:39
6/6/14,00:19:38
6/7/14,00:20:04
6/8/14,00:18:28
6/9/14,00:19:32
6/10/14,00:20:39
6/11/14,00:19:22
6/12/14,00:20:37
6/13/14,00:18:07
6/14/14,00:19:55
6/15/14,00:22:11
6/16/14,00:18:29
6/17/14,00:09:10
